Date,Time,Type,USD Volume,Token Amount,Price,Maker Address,Txn Link
2026-03-01,03:59:20 PM,Sell,1.50,8266.21,0.0001827,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xc7bc8ef8f8338ed2a9cbe9fe4126f74679dd4c088ef8c847d1a2dc472ff210c0
2026-03-01,03:58:59 PM,Buy,15.12,82642,0.0001827,0x6Efee96287B5e1a2Ef966E25baE15a54BDE9b83E,https://bscscan.com/tx/0xf7052a7bf1215bf035f6eee0cf88377a41877909149bdee5d5a7ba593b8992fe
2026-03-01,03:57:23 PM,Sell,15.09,83939,0.0001826,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x15f1c683cebbc4cb4825a2591affb447bf5593e55a58eca4f2a39372cfb6f92b
2026-03-01,03:57:20 PM,Buy,151.39,839394,0.0001802,0x6Efee96287B5e1a2Ef966E25baE15a54BDE9b83E,https://bscscan.com/tx/0xdf7e9a18402e8758fb7925c3804e2560a6503f649281787dc319645a64a4828c
2026-03-01,03:51:36 PM,Sell,0.88,4941.83,0.0001797,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x1d6ca6660abf077efdba3d262ab5a81093428ea5948d572fa36e0d4a323cc7ce
2026-03-01,03:50:48 PM,Buy,8.89,49413,0.0001796,0x6Efee96287B5e1a2Ef966E25baE15a54BDE9b83E,https://bscscan.com/tx/0x9dd73dc48dbe88993699f5ad3d25e331a029c21602c394a4ee6be605155724d2
2026-03-01,12:35:16 PM,Sell,3.61,20159,0.0001793,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xf8b303f7a9db39ced1ab137b41cc6de9e29ac48251e7594f20ade39215bdce62
2026-03-01,12:34:10 PM,Buy,36.26,201589,0.0001796,0x6Efee96287B5e1a2Ef966E25baE15a54BDE9b83E,https://bscscan.com/tx/0x457665b6065537b4e6ba8dfd249e12d062f374c775a1df016ad8065973a3eff2
2026-03-01,07:52:01 AM,Buy,2509.27,14197014,0.0001797,0x28aa4F9ffe21365473B64C161b566C3CdeAD0108,https://bscscan.com/tx/0x499d5059f923397a0889816551b167dded5c73ca5953499bbe7fae6326a9ee3e
2026-03-01,06:31:35 AM,Sell,1.95,11222,0.0001730,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x946585797ed7c37109156dfef64c6ffba5bf6be2f25bcba4e8c7514ae59e7873
2026-03-01,06:31:06 AM,Buy,19.57,112214,0.0001741,0x6Efee96287B5e1a2Ef966E25baE15a54BDE9b83E,https://bscscan.com/tx/0x5877f1a099e63435e20d2e2b642bdfe554b50a79a52341773bd91c095f491f68
2026-03-01,03:40:31 AM,Sell,7.21,41395,0.0001751,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x228ea3d37a661464eedd9724d0d2a8bb2d076d92c8e25414d06bb600399ec088
2026-03-01,03:39:01 AM,Buy,72.35,413924,0.0001745,0xD09B363271969B37465E86F7C4432c8b25e5d7D0,https://bscscan.com/tx/0x77a901c533125a506d7a103820b863fd1f33cca563c207ac0c099fa3054f9985
2026-03-01,03:37:50 AM,Sell,23.87,139599,0.0001743,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xcb0b7c832521700130fdc4ca891b01a6a1e9fae9c0658881733c5afe02ca5e13
2026-03-01,03:36:32 AM,Buy,239.35,1395982,0.0001714,0xD09B363271969B37465E86F7C4432c8b25e5d7D0,https://bscscan.com/tx/0x2d0efa5feb2fde772e9b575ee5c82261e998c0f34d396a8ae184343c52a3afba
2026-03-01,03:11:33 AM,Sell,6.99,41007,0.0001708,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xbc1b54240b8b676df20a7e6544e2b27f5dea7b44f246da7528e8e23aa5518a37
2026-03-01,03:10:36 AM,Sell,7.76,45562,0.0001708,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x2e992a43e7773a3dbd096e3f37748b9955a3cbc4254790802b9a40c127d4936e
2026-03-01,03:09:37 AM,Buy,77.94,455627,0.0001708,0xE6D6463D256Df2eE6Bd76cF4522264cC91b0e561,https://bscscan.com/tx/0x6f5c72dcee58a7c25d08cafe07d936d6a6c4cb5ce5a87393a85d0917d12f2657
2026-02-28,03:23:03 PM,Sell,0.12,757.78,0.0001618,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xe03c731556063bde4fae57e7839bb3e6d731633d59d246567908066a0e9346e4
2026-02-28,03:22:56 PM,Buy,1.23,7563.11,0.0001632,0x27e211207f89bd214C8E8954099E01522C329E83,https://bscscan.com/tx/0x4cc93ef74f937b3fe5f5bfd85654b39ee4b41cc0c88d724fc3dc669a95919b80
2026-02-28,02:46:50 PM,Sell,0.79,4872.36,0.0001632,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x8144ebfbf20e87ab96a5548a75fc46fef58ffcbe8c43d952ebf17a563308de1f
2026-02-28,09:05:50 AM,Sell,33.09,202717,0.0001635,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xe6d5695db3c644b81fb3650292aa3702679b12ada8ffd0df10189d112cb76600
2026-02-28,09:05:46 AM,Buy,331.52,2027152,0.0001636,0x6Efee96287B5e1a2Ef966E25baE15a54BDE9b83E,https://bscscan.com/tx/0xe7f86af2595f15e7828345a5880b13856658c849a554d2b74a58e0fcf41c69e7
2026-02-28,08:46:11 AM,Sell,16.68,101948,0.0001639,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xe285ca7064fdb2ab6ef513f27fdb048ea2a2085d9bdef2d4546d3c06aa1614c2
2026-02-28,08:45:56 AM,Buy,167.28,1019466,0.0001639,0x6Efee96287B5e1a2Ef966E25baE15a54BDE9b83E,https://bscscan.com/tx/0x91f62afcc6def928539b174cd00c92fda8c0847fe55678bee6683e3f4644eccb
2026-02-27,09:49:19 PM,Sell,10.58,64000,0.0001656,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x5b3798a8a994ea8a02a1fe005087079022ce1a6fcf53c2f53c7f7044a3954ac6
2026-02-27,05:33:15 PM,Sell,6.82,41054,0.0001670,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x220f7ebf211f89f3966cbc2e465b13b0a3365913881bcbdc7b246523640b1025
2026-02-27,05:32:31 PM,Buy,68.53,410538,0.0001666,0x6Efee96287B5e1a2Ef966E25baE15a54BDE9b83E,https://bscscan.com/tx/0x9e4b142a3d0ab44a4fe87e04ba2e2c3318260d4aaf3ef28a09e9cfaee7b035e0
2026-02-27,05:28:18 PM,Sell,2.56,15455,0.0001665,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x9d3ac0b656e1a446f56a9ee7fa45779b222cb18ff57ad5738924dbfd5951adb9
2026-02-27,05:27:56 PM,Buy,25.76,154541,0.0001663,0x6Efee96287B5e1a2Ef966E25baE15a54BDE9b83E,https://bscscan.com/tx/0xb7e4e1086061693f06648e493537199bc1902ae5cb3d7f962760b231fe25c8d2
2026-02-27,05:18:10 PM,Sell,8.05,48778,0.0001662,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xae2d350b623f83139e476cf5d6eb3ed7585b9c4a0c320c4a8d81e82b548adb48
2026-02-27,05:16:59 PM,Buy,80.79,487784,0.0001654,0x6Efee96287B5e1a2Ef966E25baE15a54BDE9b83E,https://bscscan.com/tx/0x1ea3579a01bf150230311811fa94fc0f609abe2f2b7c2f60e5099a7e913365eb
2026-02-27,12:20:37 PM,Sell,<0.01,24.55,0.0001733,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0x0e24f717e38de954f57d64908a6ec4dfa17f38d642391f8e6ec75c7790d93cfd
2026-02-27,12:19:07 PM,Sell,177.19,1022989,0.0001733,0x67519107de2Ba3A849D3e0069dC936b0ef5a54Fc,https://bscscan.com/tx/0xe55193a05a7538da9c662f9bf335682e204a1b1383438a9c17e91c54563aff7e
